Genome	D008	EHI03363_M	GL_07_10	EHI03358_M	GL_03_01	EHI01300	ERR1914376	ERR1913680	EHI03349_M	SA000226	EHI03335_M	D041	GL_04_10	SRR14842373	D016	ERR1916080	SRR14842426	D038	SRR14842324	GL_04_08	GL_06_01	ERR1916320	GL_04_05	SRR23153021	ERR1913344	EHI03337_M	SRR14842325	EHI03344_M	D001	SRR14842378	SRR14842396	SRR14842346	EHI01314	EHI01383	EHI03373_M	SA000222	EHI03387_M	EHI01331	SRR14842401	SRR14842343	D006	SRR14842352	EHI01329	SRR14842333	GL_03_11	EHI03383_M	EHI01323	GL_08_X	EHI01287	EHI01330	GL_08_06	ERR1915624	EHI01308	SRR14842357	ERR1913872	GL_08_05	SRR14842358	ERR1913488	ERR1914904	EHI01292	EHI03372_M	GL_07_11	D028	SRR23153161	SA000216	SRR14842337	SRR14842392	GL_07_06	GL_05_09	SRR14842407	SRR23153160	EHI01382	ERR1915456	EHI03338_M	SA000213	SRR14842422	EHI03340_M	SRR14842390	EHI03371_M	SRR21169626	GL_05_03	GL_07_07	SRR14842374	EHI03365_M	EHI01319	EHI03381_M	ERR1915648	SA000210	GL_06_03	GL_01_04	GL_05_01	SA000224	D027	EHI01304	D003	SRR14842379	D020	SRR14842395	D011	ERR1914112	EHI03341_M	SRR14842355	EHI03395_M	D026	EHI01293	EHI01324	EHI03361_M	GL_06_05	D005	GL_03_03	ERR1914448	SRR14842360	ERR1915864	SA000220	GL_01_05	GL_02_03	SRR14842320	GL_07_03	GL_02_02	SRR23153148	GL_03_07	D012	SRR14842420	SRR23152969	EHI03352_M	D007	SRR23153067	D029	GL_04_03	SRR14842359	D049	EHI01321	GL_02_06	GL_08_04	GL_05_04	ERR1914232	SRR14842383	EHI01289	EHI01290	EHI01332	SA000208	ERR1914136	SRR23152936	EHI01281	MS_03_04	D048	SA000227	SRR14842380	SRR14842328	SRR21169627	EHI03386_M	SRR21169621	D050	EHI01302	SRR23153001	D040	EHI03348_M	EHI03389_M	SRR14842356	EHI01282	GL_06_02	SRR21169624	SRR14842323	EHI01307	EHI03356_M	EHI03396_M	GL_08_12	EHI01310	EHI03375_M	D045	EHI01297	GL_02_01	SRR21169622	EHI01381	ERR1915672	SA000217	SRR23152980	GL_03_12	EHI03367_M	MS_08_03	GL_03_02	EHI01316	D033	SRR14842354	SRR14842334	GL_08_11	D018	EHI03360_M	SRR14842376	EHI01317	EHI01294	GL_07_01	SRR14842348	SRR14842415	EHI01325	EHI03336_M	EHI03345_M	EHI01318	SRR14842399	GL_04_02	GL_08_07	SRR23153032	SRR14842364	GL_05_12	SA000212	ERR1915888	GL_01_07	EHI01284	EHI01326	D042	SRR14842398	EHI03374_M	EHI03342_M	D043	SRR14842369	SRR14842371	D017	GL_03_06	SRR14842394	D047	GL_05_07	EHI01298	EHI03382_M	EHI03397_M	D015	SRR14842412	SRR21169620	EHI03346_M	SRR14842381	ERR1914160	EHI01312	D034	SRR14842366	EHI03388_M	D004	D002	ERR1913992	SA000215	EHI01384	MS_02_06	SA000211	GL_04_04	EHI03392_M	GL_04_06	SRR14842338	EHI03370_M	EHI03366_M	EHI03353_M	SRR23152947	EHI03376_M	EHI01311	D032	EHI03359_M	EHI01295	SRR14842385	SRR14842322	SA000228	EHI01305	EHI03355_M	SRR14842327	EHI03384_M	EHI03343_M	ERR1916008	GL_08_10	SA000219	ERR1913440	D031	EHI03379_M	ERR1915720	GL_06_04	SRR14842365	SRR14842377	SRR14842418	SRR21169628	ERR1915264	GL_08_02	GL_03_13	D046	SRR23153089	SRR14842375	EHI01328	SRR14842350	EHI03351_M	D023	D030	SRR23152958	EHI01322	EHI01283	D051	GL_07_04	EHI01288	SRR14842384	SA000218	SRR14842363	EHI01299	EHI03380_M	EHI01286	D022	EHI01309	SRR23153078	GL_01_06	ERR1913920	GL_04_09	EHI03393_M	EHI03377_M	EHI01291	SRR14842419	SRR21169630	GL_04_07	EHI01306	GL_03_09	EHI01301	GL_06_06	GL_05_11	SRR14842424	D025	D052	SRR14842387	SA000223	D035	D044	EHI01315	MS_05_01	GL_02_05	SRR14842351	SRR23153121	SRR14842342	EHI03394_M	EHI03385_M	SRR23153159	GL_02_04	EHI03390_M	GL_03_05	SRR14842332	ERR1913584	SRR14842341	EHI01296	GL_07_02	SA000225	D019	GL_08_03	D037	ERR1915144	EHI01313	GL_04_01	GL_07_05	GL_08_01	GL_03_10	SRR21169629	EHI03347_M	ERR1915840	EHI01320	GL_05_06	D036	D010	D014	SRR23153058	SRR14842404	SRR14842372	GL_01_02	GL_03_14	ERR1915792	SRR14842391	SRR14842345	SA000221	D024	EHI03369_M	SRR14842340	GL_05_10	SRR14842353	SRR23153012	EHI03354_M	GL_07_09	SA000209	SRR14842344	SRR14842335	EHI01280	SRR14842402	GL_03_04	ERR1913896	EHI01327	EHI01285	SRR14842362	GL_07_08	EHI03339_M	EHI03350_M	SRR14842386	ERR1914256	EHI03362_M	EHI03378_M	D013	EHI03391_M	SRR14842347	SRR14842388	GL_08_08	SRR14842397	SRR21169623	GL_07_12	SRR14842368	EHI03368_M	SRR14842393	EHI01385	SA000214	D039	EHI03364_M	SRR21169625	SRR14842336	EHI01303	SRR14842367	D021	EHI03357_M
GL_01_02_bin_65891	13	5	0	15	185	10	2	15	6	0	0	41	29	6	6	5	20	15	20859	148	4	7	82	6	35	9	2	0	20	0	10	26	1	5	2	0	2	3	0	0	3	2	7	0	6	2	4	17	2	0	59	11	0	3	66	19	0	27	5	0	5	6	0	5	2	9	0	21	116	0	0	2	9	5	0	0	0	0	9	2	125	2	15	13	5	0	0	8	11	52	204	4	5	6	14	0	0	0	11	10	11	0	0	36	0	4	12	10	17	10	4	0	0	0	15	18	0	0	77	8	107	4	0	0	3	0	18	8	70	0	3	6	11	51	103	5	0	2	7	6	26	27	4	0	13	0	9	0	14	0	13	2	4	0	0	0	7	1	0	12	4	0	1	2	2	4	34	5	0	0	3	2	3	12721	9	2	0	42	0	6	3098	4	2	2	1	200829	0	6	0	53	3	0	2	0	0	10	7	6	0	2	2	2	0	3	0	1	18	5	5	2	0	15	2	24	0	0	0	97	0	1	9	5	16	3	12	0	1	31	0	19	23	4	0	2	0	0	30	2	35	0	2	14	4	9	81	0	20	1	0	2	0	0	33	3	2	0	0	5	9	0	0	2	5	6	2	3	0	12	9	108	0	0	0	0	26	82	498	131	4	4	6	8	11	0	4	2	3	10	0	6	3	0	2	0	24	2	1	0	2	0	2	34	18	6	0	2	2	0	30	3	0	12	4	4	0	93	106	0	1	25	0	9	3	12	0	0	21	3	6	3	22	6	149	0	18	0	4	27	0	3	633	84	20	4	39	86	16	17	0	13	12	0	8	26	7	2	0	0	0	1139214	45	2	0	129	0	0	9	4	4	0	7	8	0	0	0	10	422	2	1135	7	161	15	0	6	8	22	0	3	0	9	0	14	12	0	19	0	0	44	4	14	0	170	0	4	9	7	0	2	25	4	6
GL_08_11_bin_54749	2	4830	4842	6741	18952	8230	166	4520	6266	13846	7562	2024	6372	4	0	260	29	0	28358	35948	10490	147	49197	25	313	11682	5	6242	0	2	24	28	5543	25534	2398	9067	5652	2308	2	5	1	8	13039	0	5118	3553	3389	8	910	585	91791	8610	11730	212	7334	19620	0	12682	255	6313	9724	6211	2	163	14215	6	4	27195	4911	0	0	4859	36	4235	15405	36	8335	0	2717	7047	10662	30517	6	8826	4772	5963	479	45299	5423	4878	7247	117	215	1470	55	0	30	0	99465	1265	12509	131	2483	11	1861	5140	10498	5182	1970	17756	12	1	21	13255	35058	26433	19	7791	167	3	23340	0	0	0	3544	110	4	49	13257	2	457	30278	23	27177	7377	3569	0	2179	2981	7301	7106	3275	3	14480	10	32	1810	0	37	13254	4527	28	19	15296	0	0	5226	9605	12	2931	4654	13846	0	758	2469	3800	2659	5210	38	13	3624	22070	117	16185	483	2	0	4253	318	0	12807	1794	9	0	5	2574306	557	3175	3	7252	1723	11134	0	10	2568	6116	3965	4218	0	26004	4052	0	0	15692	22	0	6614	3577	5227	5	0	2688	6289	206	0	0	89	22537	74	0	18145	5869	2806	3534	1733	0	26	9906	0	301	16686	420	0	4702	0	12	642	1342	9739	2	3	65462	9065	4968	105	12361	2245	3911	0	1494	16822	0	2836	4149	0	0	6104	13342	2869	1	146	4434	650	28726	7047	127	104	2211	22	48200	0	0	0	315	17	13339	22259	0	0	2	3952	7	14470	10	585	0	13111	5354	0	15208	992	0	28	13	4227	2599	1002	9	7471	0	27948	10859	10956	5840	6937	8412	0	9067	8539	25793	24035	2912	4650	5359	2	108	85	12	26	1135	104	1003	8	4890	1	1	67	1656	2153	0	7290	5340	10366	0	1052	4	4312	35438	4433	24	6116	0	408	1425	100303	36986	12300	27292	6104	3472	1792	10521	1161	97	48	0	0	0	0	748517	20556	434	0	198	315	1	19655	4	5975	0	0	8940	10083	2694	0	0	6261	0	9625	4724	2704	3374	0	6066	12045	3205	15	89	5610	4059	0	4670	2	18	11911	0	4433	3176	15	10291	1	7482	12583	0	3852	1808	1	901	9	50	1419
GL_01_02_bin_77494	0	96	35	0	10	18	8	162	0	11	149	1438	31	0	1147	4	0	0	43	149	11	10	44	0	66	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	214	33	0	0	8	0	5	2	0	3	42	180	0	0	319	4	0	754	0	29	0	160	0	0	0	0	0	45	708	0	0	0	27	21	0	0	185	0	0	0	3891	308	0	31	1	8	2	0	12	0	667	7	0	31	0	0	0	0	0	70	80	0	124	0	28	0	0	30	0	0	301	0	280	0	65	9	0	31	52	0	8	0	0	0	0	0	1	1	12	0	0	3	14	789	2697	174	0	83	0	0	0	7	0	0	3	0	1	0	0	0	0	14	0	0	0	0	1	0	0	0	6	11	0	1	55	0	152	0	0	0	0	3	7	14	0	0	0	4	103	4	97	0	0	0	0	1148	0	11	0	273	3	130	0	1	6	2	8	0	0	0	195	0	0	1811	0	85	2	12	1	0	0	0	36	0	0	0	0	34	0	0	0	3	136	0	0	0	0	18	0	47	0	0	0	89	0	0	4	0	27	2	0	16	25	28	0	388	0	0	0	11	0	0	0	0	0	0	0	12	0	0	0	6	34	58	0	160	0	5	2	939	0	0	0	0	2	44	478	0	1	0	0	2	79	931	0	0	0	0	0	65	0	0	14	0	2	21	0	0	1	0	0	263	214	6	0	0	0	0	189	0	0	0	21	1442	3	0	0	1	0	0	0	0	104	82	0	0	1	2	0	0	0	105	1905	0	92	0	0	189	9	0	84	0	14	16	16	786	457	2	0	0	53	26	443	0	0	0	0	0	1	565621	2	4	0	1	0	0	0	0	1388	0	0	6	48	3	0	0	57	0	109	43	10	0	0	38	0	2	0	2	124	0	5411	2	6	1	452	0	9	216	0	0	0	0	0	0	3	1	0	7	0	0	0
PRJNA738608A_bin_203487	1	0	10	0	0	0	0	3	0	0	0	0	2	50	139	0	2	0	36049	0	0	2	0	24	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	8	10	6	0	0	0	0	0	5	0	0	0	0	0	37	4	0	0	0	0	0	0	0	0	20	3	21	930	1	0	0	2063	5	1	0	109	0	0	10909	0	0	23	0	0	0	0	0	0	5	0	0	2	2	22	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	21	0	0	0	5	0	0	162	4	190	0	0	0	0	0	6	0	0	0	0	0	33	1	17	0	0	0	0	11182	0	0	0	0	0	0	663	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	393	1	0	0	0	0	0	18	5	0	0	0	5190	0	0	0	0	13	0	0	0	0	0	0	29	6496	0	49	3	1	2	0	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	0	0	0	6	0	0	1	0	0	10	0	8	0	0	477	0	0	4	0	0	4	3	0	0	0	1117	0	0	0	0	0	63	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	0	3	748	0	3	0	0	0	1	9	0	2	0	0	4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	351	40	0	56	0	2	0	0	0	81	0	0	0	0	6	0	1	0	113130	6	0	0	0	2	0	6	18678	0	0	0	618	0	0	6	0	0	1	0	0	0	41	0	0	1	0	118	0	0	0	0	0	0	0	0	0	2	0	41	0	4	46	0	0	0	4	0	0	0	0	13	0	4	0	1	7048	0	1	0	9	0	2	0	0	0	0	0	0	6	0	0	0	119	0	0	8	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	2
SRR14842324_bin_78996	8	0	0	6	2	3	8	14	1	0	0	12	4	4	2746	5	95	31	575599	3	4	4	9	43	17	1	22	9	10	11	186	15	0	0	3	0	0	14	141	0	253	8	0	0	0	0	30	4	2	0	3	9	0	57	34	2	1	6	10	0	1	4	2	35	8	29	301	2	0	41	3025	0	11	0	87	0	0	7958	5	0	6	30	6	0	1	0	6	16	0	2	9	0	529	0	507	0	4	10	1752	5	1	6	0	32	0	9	0	2	3	2	2	0	3	0	0	5	0	2	4	13	0	27	0	36	0	6	231	197	9	0	2	8	0	1	4	4	63	15	1	31	55	37	8	3	1	1	0	1009	26	0	0	1	0	2	999	0	2	0	0	32	6	0	7	38	0	3	2	0	0	0	24	12	0	7	5	21	537	0	0	0	29	4	30	2	25	40	0	0	722	0	8	2	9	86	1	1	2	25	0	0	0	9579	274	0	16	3	3	0	0	78	24	2	0	2	126	5	396	5	7	21	1	0	0	2	47	0	1	2	207	8	14	10188	29	1	17	0	31	643	5	0	38	2	0	0	40	0	0	2	1618	2	6	0	0	0	433	3	2	4	17	35	0	0	21	2	0	10	4	0	3	12	63	5	2085	0	5	22	4	6	4	59	88	34	2	7095	47	17	21	2	127	0	0	415	1	2	2	0	6	11	41	504	30	8	6	0	6	0	2	0	3	1	0	49	0	2	1	7	1538	9028	1	19	34	4	1	2	1	27353	40	0	0	940	4	4	10	0	15	25	0	14	0	252	2	3	2	2	8	6	0	0	2	2	7	36	2	0	8	18	79	4	6	24	0	6	0	23	0	6	1	14	0	78	6	0	2	10708	54	28	1	11	0	12	34	1	143	0	0	0	6	5	0	5	2	1	10	4	9	28	0	0	35	0	16	2	376	29	4	0	4	0	1	282	22
SRR14842418_bin_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	1	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	1	14	0	0	8	3	0	4	0	0	0	0	120	0	0	8	0	0	0	0	0	0	0	100	120	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	56	1	0	2	0	336	129	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0	0	5	0	0	0	0	0	0	2	0	0	0	4	0	0	1	0	0	0	0	5	149	0	0	0	0	0	0	0	0	0	0	71	1	0	0	0	0	167	0	0	526	0	0	0	40	0	0	0	1	0	0	93	6	0	0	0	0	0	0	0	0	2	0	0	1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	15	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	707	0	0	0	0	78	0	0	0	820502	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	51	0	0	0	0	0	4	0	0	0	2	0	2	7	2	0	0	48	0	0	0	0	0	64	1	23	2	0	0	0	361	0	0	0	0	68	7	60	0	0	2	0	0	0	0	31	42	0	0	0	0	0	0	22	0	0	0	0	0	6	55	0	0	29	0	0	0	0	3	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0
EHA05620_bin.26	0	25	27	512	213	3	16	213	127	0	128	49	121	0	16	2	6	230	14	49	412	93	546	0	138	172	0	282	0	2	2	0	169	7	88	4	1182	11869	4	0	0	45	5	2	223	394	176	0	379	0	668	254	187	0	166	178	0	114	1067	1902	196	889	0	11	4	3	2	62	39	0	6	117	189	6	29	0	32	4	176	0	14	248	0	21	1	885	278	60	233	399	4	0	12	132	74	0	0	0	0	237	4116	0	77	4	3	129	26	998	0	116	49	0	23	5	904	61	0	3988	14	4	9	3	6	0	80	0	21	9	496	0	67	84	281	85	6	81	0	771	449	23	17	146	8	6	0	0	0	0	0	5	152	0	0	88	25	0	28640	17	0	162	384	0	0	581	148	1364	89	197	0	202	641	880	0	0	332	161	0	153	53	0	1301	274	0	0	0	13612	0	400	0	81	274	180	0	0	953	1031	3565	308	0	4	21505	55	0	6	155	677	26	42	750	0	0	820	279	0	0	0	0	379	0	0	462	742	470	200	412	0	52	0	2	1165	195	0	0	3789	0	0	0	224	19	0	378	26	1192	32	0	174	2861	37	10	826	9	0	9264	2	1	0	6	6	300	0	691	335	157	2278	0	134	0	172	101	3008	21	0	0	0	912	4217	84	0	29	6	126	0	18	0	149	2	0	155	0	90	156	16	0	0	169	137	21	0	57	0	2267	48	241	1429	616	76	0	4	177	355	822	131	414	15	0	0	0	0	52	132	0	2816	2	1865	2	10	0	6150	5520	0	10	66	4	0	820	0	278	451	0	19	49	0	71	113	1199	418	122	1771	6	560	45	351	8	196	0	0	7	34	25	120	347	70	3	0	0	0	421	4	28	0	1	2	763	297	0	0	7387	0	54	92	2529	112	0	10	229	102	10	55	245	80	0	262	0	1	13210	0	0	288	0	95	0	4567	0	24	36397	0	0	2929	2	0	132
GL_08_07_bin_30162	63251	139	657	4025	751	5662	879	603	2377	5293	656	13405	13193	224	652	1047	40	846	1293	907	2932	454	1968	4	1324	1342	92	2015	3267	52	45	2	137	52	2181	691	131	25848	64	0	982	0	9530	4	969	430	11307	14	2498	4606	1596	297	360	2026	768	1699	430	1613	1617	61	421	3583	2525	5	714	87	778	1064	964	10	0	231	295	152	452	457	587	22	6488	3430	1736	1100	4715	109	210	655	291	1675	1352	596	471	11457	2614	2232	32449	0	283	0	1367	677	3372	307	162	7871	149	5302	561	1516	2353	803	528	0	478	328	1604	521	1887	10203	119	7	5695	44699	1	0	12350	2218	16	318	2100	422	569	16544	26	1147	1155	1301	0	6308	437	7379	695	494	14	843	0	23056	3124	18	44	328	1114	377	3	3235	14	0	6731	1469	0	3509	2634	5293	0	5334	232	442	1197	1796	28	277	3125	26	11457	26	100	2901	6	698	144	0	3195	2137	9	78	1	37562	891	192	9	1728	3552	1008	4	21	438	3158	4598	4904	0	841	231762	2	4	314	948	366	210	125	4345	60912	0	351	413	59148	2	301	4	1883	865	0	9943	10794	89	689	1446	0	513	302	2	735	5	1333	7	216	557	0	369	707	1350	0	1664	367	99	468	1	613	1342	3162	12	150	275	0	5488	9437	60	0	751	478	882	4	439	430	200	18324	3430	478	19246	415	336	3594	106	377	0	4862	466	7099	1651	2	0	208	5331	2	1806	520	2477	8	7609	5374	45	1376	2556	49	377	931	12316	370	6108	1857	6043	7	6439	899	5014	350	7055	171	18	691	18112	37	5391	7411	1283	342	1	233	0	51	513	24357	20964	4280	0	4325	0	14	27	3997	2008	14	49	1054	922	0	370	5	2986	5187	2631	311	705	472	1317	8291	13890	6321	726	4731	751	772	7975	2854	208	17682	26880	91	0	40	83	145	1355	189	1193	19	4862	0	937	14	262	1951	1	141	4040	1011	2	1	5020	0	634	888	11880	101	16	695	888	1036	156	616	390	664	6212	1762	27	197	28164	0	2631	1452	330	710	0	11070	607	35585	6442	3124	60	17	140	428	881
PRJNA738608B_bin_436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	4	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323203	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SRR14842407_bin_88846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231688	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
