sample,breed,origin,country,locality,dog_type
D027,Shiba Inu,Pet store,Shangai,Baoshan District,companion
D028,Shiba Inu,From a friend / relative / particular,Shangai,Baoshan District,companion
D031,Mixed breed,Rescued animal / Animal shelter,Shangai,Changning District,companion
D038,Shiba Inu,Pet store,Shangai,Changning District,companion
D045,Corgi,From a friend / relative / particular,Shangai,Changning District,companion
D013,Shiba Inu,Pet store,Shangai,Hongkou District,companion
D039,Chinese rural dog,Stray animals on the roadside,Shangai,Jiading District,companion
D040,Mixed breed,Rescued animal / Animal shelter,Shangai,Jiading District,companion
D041,West-Highland-White-Terrier,Stray animals on the roadside,Shangai,Jiading District,companion
D042,Mixed breed,Stray animals on the roadside,Shangai,Jiading District,companion
D043,Mixed breed,Stray animals on the roadside,Shangai,Jiading District,companion
D044,Mixed breed,Stray animals on the roadside,Shangai,JIading District,companion
D052,Samoyed,Pet store,Shangai,Jiading District,companion
D016,Beagle,Pet store,Shangai,Jiading District,companion
D017,English bulldog,Other: Bought in a second-hand app,Shangai,Jiading District,companion
D047,Golden retriever,Rescued animal / Animal shelter,Shangai,Jiading District,companion
D048,Samoyed,Rescued animal / Animal shelter,Shangai,Jiading District,companion
D049,Labrador retriever,Rescued animal / Animal shelter,Shangai,Jiading District,companion
D026,Border Collie,Pet store,Shangai,Minhang District,companion
D029,Swiss shepherd,Pet store,Shangai,Minhang District,companion
D001,Mixed breed,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion
D002,Yorkshire Terrier,Pet store,Shangai,Pudong New Area District,companion
D003,Miniature schnauzer,Animal breeder,Shangai,Pudong New Area District,companion
D004,Mixed breed,Stray animals on the roadside,Shangai,Pudong New Area District,companion
D005,Mixed breed,Stray animals on the roadside,Shangai,Pudong New Area District,companion
D006,Schnauzer,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion
D007,Mixed breed,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion
D008,Shiba Inu,Animal breeder,Shangai,Pudong New Area District,companion
D010,Shih Tzu,Animal breeder,Shangai,Pudong New Area District,companion
D011,Labrador retriever,Animal breeder,Shangai,Pudong New Area District,companion
D012,Mixed breed,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion
D015,Border Collie,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion
D018,I don't know,Stray animals on the roadside,Shangai,Pudong New Area District,companion
D023,Mixed breed,From a friend / relative / particular,Shangai,Pudong New Area District,companion
D050,Poodle or Toy poodle,From a friend / relative / particular,Shangai,Pudong New Area District,companion
D019,Shiba Inu,Pet store,Shangai,Putuo District,companion
D020,Shiba Inu,Pet store,Shangai,Putuo District,companion
D021,Shiba Inu,Pet store,Shangai,Putuo District,companion
D022,Poodle or Toy poodle,Rescued animal / Animal shelter,Shangai,Putuo District,companion
D024,Poodle or Toy poodle,Rescued animal / Animal shelter,Shangai,Putuo District,companion
D051,Corgi,Animal breeder,Shangai,Putuo District,companion
D032,Mixed breed,Rescued animal / Animal shelter,Shangai,Qingpu District,companion
