sample,breed,origin,country,locality,dog_type,Pack,Working_status,day,season
D027,Shiba Inu,Pet store,Shangai,Baoshan District,companion,unknown,unknown,unknown,unknown
D028,Shiba Inu,From a friend / relative / particular,Shangai,Baoshan District,companion,unknown,unknown,unknown,unknown
D031,Mixed breed,Rescued animal / Animal shelter,Shangai,Changning District,companion,unknown,unknown,unknown,unknown
D038,Shiba Inu,Pet store,Shangai,Changning District,companion,unknown,unknown,unknown,unknown
D045,Corgi,From a friend / relative / particular,Shangai,Changning District,companion,unknown,unknown,unknown,unknown
D013,Shiba Inu,Pet store,Shangai,Hongkou District,companion,unknown,unknown,unknown,unknown
D039,Chinese rural dog,Stray animals on the roadside,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D040,Mixed breed,Rescued animal / Animal shelter,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D041,West-Highland-White-Terrier,Stray animals on the roadside,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D042,Mixed breed,Stray animals on the roadside,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D043,Mixed breed,Stray animals on the roadside,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D044,Mixed breed,Stray animals on the roadside,Shangai,JIading District,companion,unknown,unknown,unknown,unknown
D052,Samoyed,Pet store,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D016,Beagle,Pet store,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D017,English bulldog,Other: Bought in a second-hand app,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D047,Golden retriever,Rescued animal / Animal shelter,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D048,Samoyed,Rescued animal / Animal shelter,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D049,Labrador retriever,Rescued animal / Animal shelter,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown
D026,Border Collie,Pet store,Shangai,Minhang District,companion,unknown,unknown,unknown,unknown
D029,Swiss shepherd,Pet store,Shangai,Minhang District,companion,unknown,unknown,unknown,unknown
D001,Mixed breed,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D002,Yorkshire Terrier,Pet store,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D003,Miniature schnauzer,Animal breeder,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D004,Mixed breed,Stray animals on the roadside,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
