sample	input_reads	input_bases	reads_mapped	bases_mapped	mapping_percentage
D001	152219434	22832915100	139398002	20909700300	91.58
D002	147555404	22133310600	130034720	19505208000	88.13
D003	150854292	22628143800	133825722	20073858300	88.71
D004	145783364	21867504600	131950490	19792573500	90.51
D005	146183532	21927529800	130145878	19521881700	89.03
D006	142366028	21354904200	122145954	18321893100	85.80
D007	140750054	21112508100	124012936	18601940400	88.11
D008	151415002	22712250300	133703848	20055577200	88.30
D010	163950642	24592596300	146047010	21907051500	89.08
D011	141827430	21274114500	123452182	18517827300	87.04
D012	145760430	21864064500	127053356	19058003400	87.17
D013	160503062	24075459300	144176246	21626436900	89.83
D014	146424952	21963742800	126796342	19019451300	86.59
D015	138427850	20764177500	118708158	17806223700	85.75
D016	141710768	21256615200	121627022	18244053300	85.83
D017	143576502	21536475300	132654204	19898130600	92.39
D018	130548288	19582243200	116803110	17520466500	89.47
D019	156624198	23493629700	140380506	21057075900	89.63
D020	149953136	22492970400	134198896	20129834400	89.49
D021	138314672	20747200800	125511704	18826755600	90.74
D022	142188570	21328285500	128448200	19267230000	90.34
D023	149305184	22395777600	128105892	19215883800	85.80
D024	145593786	21839067900	134835056	20225258400	92.61
D025	149447422	22417113300	138284192	20742628800	92.53
D026	139235666	20885349900	125946386	18891957900	90.46
D027	141029334	21154400100	126381976	18957296400	89.61
D028	137635854	20645378100	125183528	18777529200	90.95
D029	137379342	20606901300	124520416	18678062400	90.64
D030	178810478	26821571700	156857844	23528676600	87.72
D031	157822062	23673309300	145230078	21784511700	92.02
D032	139625002	20943750300	121136854	18170528100	86.76
D033	193091192	28963678800	177265820	26589873000	91.80
D034	144245630	21636844500	126648120	18997218000	87.80
D035	190364728	28554709200	164455948	24668392200	86.39
D036	161105128	24165769200	139588494	20938274100	86.64
D037	138151782	20722767300	125729742	18859461300	91.01
D038	140571386	21085707900	125521126	18828168900	89.29
D039	146061394	21909209100	128903624	19335543600	88.25
D040	140859526	21128928900	132405682	19860852300	94.00
D041	170549624	25582443600	143997258	21599588700	84.43
D042	168226490	25233973500	151690656	22753598400	90.17
D043	158646864	23797029600	138766396	20814959400	87.47
D044	141234058	21185108700	128800132	19320019800	91.20
D045	137844156	20676623400	130880054	19632008100	94.95
D046	153156910	22973536500	136097458	20414618700	88.86
D047	143616624	21542493600	131663242	19749486300	91.68
D048	141335048	21200257200	123639774	18545966100	87.48
D049	141608384	21241257600	126753254	19012988100	89.51
D050	152958216	22943732400	137925444	20688816600	90.17
D051	146494802	21974220300	134440938	20166140700	91.77
D052	146276854	21941528100	128575892	19286383800	87.90
EHI01280	50657920	7598688000	40880566	6132084900	80.70
EHI01281	29811248	4471687200	24941712	3741256800	83.67
EHI01282	36822730	5523409500	30133262	4519989300	81.83
EHI01283	55277614	8291642100	43504268	6525640200	78.70
EHI01284	28394068	4259110200	22428628	3364294200	78.99
EHI01285	37736862	5660529300	25479896	3821984400	67.52
EHI01286	34353144	5152971600	29076834	4361525100	84.64
EHI01287	20382938	3057440700	16225692	2433853800	79.60
EHI01288	13797962	2069694300	11436484	1715472600	82.89
EHI01289	39330526	5899578900	32703662	4905549300	83.15
EHI01290	21862310	3279346500	16847990	2527198500	77.06
EHI01291	27237956	4085693400	21589066	3238359900	79.26
EHI01292	40997430	6149614500	28219850	4232977500	68.83
EHI01293	16576450	2486467500	12798812	1919821800	77.21
EHI01294	26848854	4027328100	22633534	3395030100	84.30
EHI01295	24248362	3637254300	19576746	2936511900	80.73
EHI01296	34249420	5137413000	28103974	4215596100	82.06
EHI01297	29198674	4379801100	23735890	3560383500	81.29
EHI01298	61481866	9222279900	50861934	7629290100	82.73
EHI01299	43907426	6586113900	37050514	5557577100	84.38
EHI01300	37424480	5613672000	29656784	4448517600	79.24
EHI01301	34228700	5134305000	28660172	4299025800	83.73
EHI01302	33356958	5003543700	27407378	4111106700	82.16
EHI01303	20103942	3015591300	16275072	2441260800	80.95
EHI01304	18824406	2823660900	15310248	2296537200	81.33
EHI01305	29034268	4355140200	24329282	3649392300	83.80
EHI01306	54130990	8119648500	42208638	6331295700	77.97
EHI01307	20771946	3115791900	17102558	2565383700	82.33
EHI01308	47657988	7148698200	37785622	5667843300	79.28
EHI01309	35699152	5354872800	29177632	4376644800	81.73
EHI01310	33766546	5064981900	27719676	4157951400	82.09
EHI01311	34018486	5102772900	28912316	4336847400	84.99
EHI01312	26531134	3979670100	21489580	3223437000	81.00
EHI01313	46573566	6986034900	39293496	5894024400	84.37
EHI01314	32906350	4935952500	26047616	3907142400	79.16
EHI01315	37470098	5620514700	28616950	4292542500	76.37
EHI01316	21004976	3150746400	16167870	2425180500	76.97
EHI01317	42028948	6304342200	31033882	4655082300	73.84
EHI01318	27144078	4071611700	22985918	3447887700	84.68
EHI01319	29931580	4489737000	19047108	2857066200	63.64
EHI01320	74415628	11162344200	62236330	9335449500	83.63
EHI01321	137923062	20688459300	116475482	17471322300	84.45
EHI01322	58188834	8728325100	48808302	7321245300	83.88
EHI01323	42924662	6438699300	34714830	5207224500	80.87
EHI01324	38527284	5779092600	30989248	4648387200	80.43
EHI01325	24151474	3622721100	19158710	2873806500	79.33
EHI01326	36422488	5463373200	28714996	4307249400	78.84
EHI01327	48173200	7225980000	34138618	5120792700	70.87
EHI01328	41886270	6282940500	34771968	5215795200	83.02
EHI01329	42020008	6303001200	34088546	5113281900	81.12
EHI01330	44173538	6626030700	34212634	5131895100	77.45
EHI01331	24188720	3628308000	19922128	2988319200	82.36
EHI01332	41732530	6259879500	34737556	5210633400	83.24
EHI01381	42988848	6448327200	36121192	5418178800	84.02
EHI01382	44329912	6649486800	35553546	5333031900	80.20
EHI01383	42467830	6370174500	35707658	5356148700	84.08
EHI01384	48783430	7317514500	37662248	5649337200	77.20
EHI01385	55632110	8344816500	41613624	6242043600	74.80
EHI03335_M	44613742	6579942255	36345312	5358022778	81.47
EHI03336_M	69802974	10311013745	54935224	8113036561	78.70
EHI03337_M	74617654	11018312691	63830158	9425303625	85.54
EHI03338_M	54414924	8032379308	45825960	6760467950	84.22
EHI03339_M	43742564	6425689233	37225116	5485145439	85.10
EHI03340_M	44288008	6557019625	37938354	5614713666	85.66
EHI03341_M	78818974	11611827816	66481908	9792578370	84.35
EHI03342_M	58743100	8704058095	51840746	7679660434	88.25
EHI03343_M	50037052	7403821482	39398540	5827571335	78.74
EHI03344_M	52307204	7739142356	43950282	6500457686	84.02
EHI03345_M	39860862	5876238140	31580860	4655820234	79.23
EHI03346_M	49308180	7288656333	41343804	6108505798	83.85
EHI03347_M	42874716	6329088493	37303238	5505169332	87.01
EHI03348_M	45629060	6756537983	39137622	5794008847	85.77
EHI03349_M	49981434	7395423667	39450076	5835672663	78.93
