sample,breed,origin,country,locality,dog_type,Pack,Working_status,day,season,origin_clean
D027,Shiba Inu,Pet store,Shangai,Baoshan District,companion,unknown,unknown,unknown,unknown,Store
D028,Shiba Inu,From a friend / relative / particular,Shangai,Baoshan District,companion,unknown,unknown,unknown,unknown,House
D031,Mixed breed,Rescued animal / Animal shelter,Shangai,Changning District,companion,unknown,unknown,unknown,unknown,Shelter
D038,Shiba Inu,Pet store,Shangai,Changning District,companion,unknown,unknown,unknown,unknown,Store
D045,Corgi,From a friend / relative / particular,Shangai,Changning District,companion,unknown,unknown,unknown,unknown,House
D013,Shiba Inu,Pet store,Shangai,Hongkou District,companion,unknown,unknown,unknown,unknown,Store
D039,Chinese rural dog,Stray animals on the roadside,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Street
D040,Mixed breed,Rescued animal / Animal shelter,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Shelter
D041,West-Highland-White-Terrier,Stray animals on the roadside,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Street
D042,Mixed breed,Stray animals on the roadside,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Street
D043,Mixed breed,Stray animals on the roadside,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Street
D044,Mixed breed,Stray animals on the roadside,Shangai,JIading District,companion,unknown,unknown,unknown,unknown,Street
D052,Samoyed,Pet store,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Store
D016,Beagle,Pet store,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Store
D017,English bulldog,Other: Bought in a second-hand app,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Store
D047,Golden retriever,Rescued animal / Animal shelter,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Shelter
D048,Samoyed,Rescued animal / Animal shelter,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Shelter
D049,Labrador retriever,Rescued animal / Animal shelter,Shangai,Jiading District,companion,unknown,unknown,unknown,unknown,Shelter
D026,Border Collie,Pet store,Shangai,Minhang District,companion,unknown,unknown,unknown,unknown,Store
D029,Swiss shepherd,Pet store,Shangai,Minhang District,companion,unknown,unknown,unknown,unknown,Store
D001,Mixed breed,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Shelter
D002,Yorkshire Terrier,Pet store,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Store
D003,Miniature schnauzer,Animal breeder,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Animal breeder
D004,Mixed breed,Stray animals on the roadside,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Street
D005,Mixed breed,Stray animals on the roadside,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Street
D006,Schnauzer,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Shelter
D007,Mixed breed,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Shelter
D008,Shiba Inu,Animal breeder,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Animal breeder
D010,Shih Tzu,Animal breeder,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Animal breeder
D011,Labrador retriever,Animal breeder,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Animal breeder
D012,Mixed breed,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Shelter
D015,Border Collie,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Shelter
D018,I don't know,Stray animals on the roadside,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,Street
D023,Mixed breed,From a friend / relative / particular,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,House
D050,Poodle or Toy poodle,From a friend / relative / particular,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown,House
D019,Shiba Inu,Pet store,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown,Store
D020,Shiba Inu,Pet store,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown,Store
D021,Shiba Inu,Pet store,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown,Store
D022,Poodle or Toy poodle,Rescued animal / Animal shelter,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown,Shelter
D024,Poodle or Toy poodle,Rescued animal / Animal shelter,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown,Shelter
