Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
EHA01881_bin.13	98.23	0.02	Neural Network (Specific Model)	11	0.839	98480	361.39639639639637	2577365	0.49	1998	46	255391	None
EHA01886_bin.8	98.22	0.63	Gradient Boost (General Model)	11	0.881	44671	306.0683398850922	3440638	0.35	3307	124	135153	None
EHA01887_bin.4	88.94	0.93	Neural Network (Specific Model)	11	0.847	49802	347.47532082922015	2489976	0.48	2026	85	129385	None
EHA01887_bin.5	99.96	0.0	Neural Network (Specific Model)	11	0.92	114125	309.6142857142857	1832487	0.39	1820	31	262847	None
EHA01890_bin.19	85.98	0.45	Gradient Boost (General Model)	4	0.762	22691	330.5129490392648	4649279	0.52	3591	382	92294	None
EHA01890_bin.6	96.5	0.38	Gradient Boost (General Model)	11	0.898	150391	332.9386606640405	1973302	0.39	1777	28	285844	None
EHA01891_bin.15	81.92	0.05	Neural Network (Specific Model)	11	0.924	4658	264.94650423728814	1619165	0.39	1888	404	25899	None
EHA01897_bin.6	60.12	1.86	Neural Network (Specific Model)	11	0.911	7941	293.3148003132341	1232426	0.29	1277	193	30597	None
EHA01900_bin.41	67.55	8.75	Neural Network (Specific Model)	11	0.887	3129	257.5913544668588	1509411	0.64	1735	517	13133	None
EHA01903_bin.11	88.75	1.29	Neural Network (Specific Model)	11	0.896	8999	286.8199248120301	2550310	0.48	2660	367	62380	None
EHA01908_bin.42	72.37	7.66	Gradient Boost (General Model)	11	0.877	5576	284.37039563437924	1424095	0.63	1466	307	42200	None
EHA01911_bin.11	90.62	0.59	Gradient Boost (General Model)	11	0.891	22514	318.0088495575221	1571619	0.43	1469	112	79937	None
EHA01918_bin.18	100.0	1.12	Neural Network (Specific Model)	11	0.855	88956	286.9462686567164	3032782	0.34	3015	63	186104	None
EHA01919_bin.3	90.37	2.82	Gradient Boost (General Model)	11	0.877	4499	263.73380129589634	1667615	0.63	1852	422	23345	None
EHA01927_bin.29	99.13	1.97	Neural Network (Specific Model)	11	0.859	33428	287.6439808481532	2933493	0.28	2924	155	122301	None
EHA01929_bin.20	84.79	0.78	Neural Network (Specific Model)	11	0.937	6481	266.73325830050646	1513292	0.35	1777	305	34678	None
EHA01929_bin.52	96.58	0.32	Neural Network (Specific Model)	11	0.88	70214	289.69730446310206	2230789	0.38	2263	80	255347	None
EHA01929_bin.8	94.8	0.35	Gradient Boost (General Model)	11	0.9	150672	364.8239329268293	1593132	0.29	1312	25	246388	None
EHA01929_bin.97	93.47	0.43	Neural Network (Specific Model)	11	0.896	40253	344.2390804597701	2504354	0.44	2175	99	110238	None
EHA01929_bin.98	98.95	0.58	Gradient Boost (General Model)	11	0.888	30051	322.8269105160026	1667667	0.43	1531	122	81834	None
EHA01958_bin.132	93.69	0.95	Gradient Boost (General Model)	11	0.889	16544	298.56462264150946	2134375	0.61	2120	191	69578	None
EHA01958_bin.194	97.5	0.0	Gradient Boost (General Model)	11	0.874	39436	310.42421159715155	2093169	0.57	1966	87	68593	None
EHA01958_bin.231	74.15	0.1	Neural Network (Specific Model)	11	0.912	6889	303.462511715089	2126748	0.46	2134	374	48810	None
EHA01958_bin.94	98.31	0.21	Gradient Boost (General Model)	11	0.908	40007	335.9059760956175	1390559	0.27	1255	58	99537	None
EHA05615_bin.21	91.09	0.46	Neural Network (Specific Model)	11	0.919	65074	305.1415362731152	1398067	0.34	1406	36	145500	None
EHA05620_bin.81	94.89	0.64	Gradient Boost (General Model)	11	0.881	29036	307.6183778715424	2231464	0.29	2133	144	86222	None
EHA05625_bin.77	93.44	3.68	Gradient Boost (General Model)	11	0.856	12986	279.771954674221	2765689	0.28	2824	295	77376	None
EHA05641_bin.76	93.54	5.37	Neural Network (Specific Model)	11	0.852	4633	268.899577167019	2684182	0.29	2838	690	24647	None
EHA05646_bin.92	77.85	5.38	Neural Network (Specific Model)	11	0.849	5044	268.24694993689525	2249948	0.29	2377	532	34606	None
EHA05663_bin.56	86.15	3.48	Gradient Boost (General Model)	11	0.905	5361	275.30301307561115	1602885	0.57	1759	354	24877	None
EHA05667_bin.56	80.52	8.95	Gradient Boost (General Model)	11	0.878	5866	282.5052083333333	1665147	0.63	1728	377	40201	None
