user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EHA01871_bin.16	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B sp937906905	GCF_937906905.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B sp937906905	96.17	0.846	GCF_937906905.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B sp937906905	96.17	0.846	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_030249855.1, s__Helicobacter_B zhangjianzhongii, 95.0, 88.26, 0.172	94.55	11	N/A	N/A
EHA01872_bin.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	GCF_047528295.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	98.51	0.758	GCF_047528295.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	98.51	0.758	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_047807365.1, s__Peptacetobacter sp900539645, 95.0, 92.75, 0.541; GCF_008151785.1, s__Peptacetobacter hiranonis, 95.0, 92.92, 0.517	85.73	11	N/A	N/A
EHA01872_bin.6	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.21	11	0.88784	N/A
EHA01873_bin.14	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp963559865	GCA_963559865.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp963559865	96.07	0.844	GCA_963559865.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp963559865	96.07	0.844	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000155475.1, s__Helicobacter_C cinaedi, 95.0, 88.97, 0.621; GCF_000765825.2, s__Helicobacter_C magdeburgensis, 95.0, 90.13, 0.669; GCF_003670275.1, s__Helicobacter_C labetoulli, 95.0, 94.08, 0.791	94.93	11	N/A	N/A
EHA01874_bin.19	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	GCA_964239055.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	98.59	0.93	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_050219445.1, s__Fusobacterium_B sp019416805, 95.0, 95.89, 0.831; GCA_900542625.1, s__Fusobacterium_B sp900542625, 95.0, 87.61, 0.165; GCA_019416865.1, s__Fusobacterium_B sp019416865, 95.0, 87.7, 0.169; GCA_020024855.1, s__Fusobacterium_B sp020024855, 95.0, 88.49, 0.156; GCF_021531595.1, s__Fusobacterium_B sp900554355, 95.0, 88.96, 0.339	76.61	11	N/A	N/A
EHA01875_bin.10	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.72	0.905	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCA_900540845.1, s__Collinsella sp900540845, 95.0, 87.05, 0.159; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 87.47, 0.211; GCA_963560155.1, s__Collinsella sp963560155, 95.0, 90.44, 0.413; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.58, 0.669; GCF_003479805.1, s__Collinsella sp003479805, 95.0, 87.76, 0.152; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 89.48, 0.383; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 89.92, 0.459; GCF_902364775.1, s__Collinsella sp902364775, 95.05, 95.27, 0.797; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 88.81, 0.377	84.03	11	N/A	N/A
EHA01875_bin.14	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	GCF_047528295.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter sp900550335	97.95	0.646	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_008151785.1, s__Peptacetobacter hiranonis, 95.0, 96.02, 0.49; GCF_047807365.1, s__Peptacetobacter sp900539645, 95.0, 94.63, 0.464	66.21	11	N/A	Genome has more than 10.0% of markers with multiple hits
EHA01876_bin.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.43	11	0.99858	N/A
EHA01878_bin.6	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.07	11	0.99634	N/A
EHA01879_bin.8	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.68	0.826	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.68	0.826	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963560155.1, s__Collinsella sp963560155, 95.0, 90.52, 0.369; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.63, 0.624; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 90.27, 0.316; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 89.88, 0.392; GCF_902364775.1, s__Collinsella sp902364775, 95.05, 95.31, 0.708; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 89.05, 0.342; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 88.69, 0.18	80.8	11	N/A	N/A
EHA01882_bin.11	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.94	0.835	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.94	0.835	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963560155.1, s__Collinsella sp963560155, 95.0, 92.63, 0.333; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 89.92, 0.152; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.96, 0.566; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 91.59, 0.28; GCF_902364775.1, s__Collinsella sp902364775, 95.05, 95.47, 0.702; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 90.92, 0.276; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 90.51, 0.332	66.19	11	N/A	N/A
EHA01884_bin.7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp900543125	GCF_023050945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp900543125	97.71	0.906	GCF_023050945.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp900543125	97.71	0.906	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.71	11	N/A	N/A
EHA01886_bin.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	GCF_000482845.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	96.75	0.879	GCF_000482845.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	96.75	0.879	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.43	11	N/A	N/A
